,Date,Year,Type,Country,Area,Location,Activity,Sex,Age,Injury,Species
24,22-Apr-2018,2018.0,Unprovoked,SOUTH AFRICA,Western Cape Province,"Robberg Beach, Plettenberg Bay",Paddle-skiing,M,33,"No injury, shark bit hole in ski","White shark, 2.5 m"
25,19-Apr-2018,2018.0,Unprovoked,USA,Hawaii,"Shipwreck’s Beach, Keoneloa Bay, Kauai",Body boarding,M,29,Lacerations to right lower leg,6' shark
26,15-Apr-2018,2018.0,Unprovoked,THAILAND,Hua Hin,Sai Noi Beach,Swimming,M,54,Lacerations to foot and ankle,Juvenile bull shark
27,15-Apr-2018,2018.0,Unprovoked,BRAZIL,Pernambuco,Piedade,Swimming,M,34,"Multiple severe injuries to arms and leg, leg subsequently surgically amputated",-
28,15-Apr-2018,2018.0,Unprovoked,AUSTRALIA,Western Australia,"Lefthanders, Margaret River Area",Surfing,M,41,Laceration to right thigh,-
29,15-Apr-2018,2018.0,Unprovoked,AUSTRALIA,Western Australia,"Cobblestones, Margaret River Area",Surfing,M,37,Lacerations to legs,-
30,14-Apr-2018,2018.0,Unprovoked,BAHAMAS,New Providence,Nirvana Beach,Surfing,M,-,No Injury. Shark swam away with the surf board,Tiger shark
31,Reported 10-Apr-2018,2018.0,Invalid,BRAZIL,Alagoas,"Praia de Sauaçuhy, Maceió",Fishing,M,56,Injury to ankle from marine animal trapped in weir PROVOKED INCIDENT. ,Shark involvement not confirmed
32,09-Apr-2018,2018.0,Unprovoked,NEW CALEDONIA,-,"Magenta Beach, Noumea",Windsurfing,-,-,"No injury, shark bit board",2 m shark
33,05-Apr-2018,2018.0,Unprovoked,BAHAMAS,-,Bimini,Swimming,M,12,"2 puncture wounds to left foot, abrasion to right foot",Bull shark
34,03-Apr-2018,2018.0,Unprovoked,SOUTH AFRICA,Eastern Cape Province,St. Francis Bay,Surfing,M,19,Lacerations to left knee & lower leg,White shark
35,31-Mar-2018,2018.0,Unprovoked,USA,Hawaii,Kukio Beach,Stand-Up Paddleboarding,M,25,Injuries to right leg & hand,"Tiger shark, 12'"
36,14-Mar-2018,2018.0,Unprovoked,AUSTRALIA,Western Australia,Waterman's Bay,Wading,M,10,Minor injuries to legs,Wobbegong shark
37,9-Mar-2018,2018.0,Unprovoked,AUSTRALIA,Victoria,Lorne,Swimming,M,69,"No injury, said to have been charged by sharks several times",3.5 m shark
38,9-Mar-2018,2018.0,Unprovoked,AUSTRALIA,Victoria,Winkipop,Surfing,M,18,"Minor injury, ankle grazed",1.8 m shark
39,24-Feb-2018,2018.0,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Durban,Scuba Diving,M,38, The shark & man simply collided; neither were injured,Blacktip shark
40,23-Feb-2018,2018.0,Unprovoked,AUSTRALIA,New South Wales,"Little Congwong Beach, La Perouse ",Swimming,F,55,Laceratons to right leg & foot,"Juvenile white shark,  2.7 to 3.2 m"
41,18-Feb-2018,2018.0,Provoked,AUSTRALIA,Victoria,Westernport Bay,Kayak fishing for sharks,M,34,"Shark rammed kayak, no injury to occupant  PROVOKED INCIDENT",-
42,15-Feb-2018,2018.0,Unprovoked,AUSTRALIA,New South Wales,"Surf Beach, Kiama",Walking,M,35,Puncture wounds to leff foot & lower leg,"Bull shark, 2 m"
43,14-Feb-2018,2018.0,Invalid,AUSTRALIA,Queensland,Mooloolaba Beach,Swimming,F,-,"Collision / No injury, no attack",Possibly a wobbegong
44,11-Feb-2018,2018.0,Invalid,BRAZIL,"Boi Island, Victoria",Espirito Santo,Cleaning fish,F,46,Lacerations to 4 toes of right foot,"Injury believed caused by an eel, not a shark"
45,03-Feb-2018,2018.0,Unprovoked,ECUADOR,Galapagos Islands,Santa Fe Island,Snorkeling,M,45,Injuries to right foot,Galapagos shark?
46,01-Feb-2018,2018.0,Invalid,AUSTRALIA,Western Australia,"Avalon Point, Manurah",Spearfishing,M,14,"No injury no attack. This is considerd an ""encounter""",2m shark
47,28-Jan-2018,2018.0,Unprovoked,AUSTRALIA,Western Australia,Cone Bay,-,M,18,Injuries to right leg,Bull shark
48,21-Jan-2018,2018.0,Unprovoked,NEW CALEDONIA,-,Nouville,Spearfishing,M,40s,Injuries to abdomen and arm,"Bull shark, 3 m "
49,14-Jan-2018,2018.0,Unprovoked,AUSTRALIA,Queensland,Lizard Island,Diving,M,-,Severe laceration to left forearm,Grey reef shark. 2 m
50,13-Jan-2018,2018.0,Unprovoked,AUSTRALIA,New South Wales,Martin Islet,Free diving,M,28,"No injury, shark took his swimfin","White shark, 3.5 m"
51,12-Jan-2018,2018.0,Unprovoked,BRAZIL,Fernando de Noronha,Conceicao Beach,Surfing,M,20,Minor injury to left forearm,small shark
52,05-Jan-2018,2018.0,Unprovoked,AUSTRALIA,Western Australia,"South Point, Gracetown",Surfing,M,-,Foot bitten,Wobbegong shark?
53,31-Dec-2017,2017.0,Unprovoked,USA,Hawaii,"Hultin's Beach, Oahu",Surfing,F,54,Severe lacerations to left thigh & knee,Tiger shark
54,30-Dec-2017,2017.0,Unprovoked,USA,California,"Drakes Estero, Point Reyes, Marin County",Surfing,F,35,Foot bitten,-
55,21-Dec-2017,2017.0,Provoked,MALAYSIA,Sepang,Bagan Lalang Beach,Fishing / Wading,M,24,"Minor injury to thigh, PROVOKED INCIDENT",Juvenile nurse shark
56,09-Dec-2017,2017.0,Unprovoked,BAHAMAS,-,-,Snorkeling,F,25,Minor injury to arm,Nurse shark. 5'
57,30-Nov-2017,2017.0,Unprovoked,COSTA RICA,Cocos Island,Manuelita,Scuba Diving,M,26,Serious injury to leg,"Tiger shark, female"
58,30-Nov-2017,2017.0,Unprovoked,COSTA RICA,Cocos Island,Manuelita,Scuba diving,F,49,FATAL,"Tiger shark, female"
59,Reported 25-Nov-2017,2017.0,Sea Disaster,LIBYA,-, Gars Garabulli,2 boats capsized,-,-,FATAL,Some drowned but other may have been killed by blue sharks
60,24-Nov-2017,2017.0,Unprovoked,USA,California,"Stillwater Cove, Monterey County",Spearfishing,M,25,Right leg bitten,"White shark, 4.6 m"
61,18-Nov-2017,2017.0,Unprovoked,USA,Florida,"Floridana Beach, Brevard County",Surfing,F,14,Heel bitten,-
62,Reported 13-Nov-2017,2017.0,Unprovoked,-,-,-,Surfing,M,24,Puncture wounds to feet,-
63,13-Nov-2017,2017.0,Unprovoked,AUSTRALIA,New South Wales,Avoca Beach,Surfing,M,25,Puncture wounds to left shoulder,2 m shark
64,04-Nov-2017,2017.0,Unprovoked,CUBA,Holquin Province,Guardalavaca Beach,Night bathing,M,22,FATAL,Tiger shark
65,Reported 31-Oct-2017,2017.0,Unprovoked,AUSTRALIA,Queensland,Magnetic Island,Snorkeling,M,7,Calf injured,Cookiecutter shark
66,28-Oct-2017,2017.0,Unprovoked,AUSTRALIA,New South Wales,Birubi Point,Surfing,M,31,Minor injury to foot,"Wobbegong shark, 1 m"
67,26-Oct-2017,2017.0,Unprovoked,USA,Hawaii,"White Plains Beach, Oahu",Stand-Up Paddleboarding,M,-,No injury but shark bit SUP,-
68,23-Oct-2017,2017.0,Unprovoked,MAURITIUS,Pamplemousses ,Le Goulet,Swimming,M,-,Minor injury to foot,-
69,23-Oct-2017,2017.0,Unprovoked,USA,Florida,"Juno Beach, Palm Beach County",Surfing ,M,17,Lacerations to left foot,-
70,23-Oct-2017,2017.0,Unprovoked,USA,Florida,"Ocean Reef Park, Singer Island, Palm Beach County",Swimming,F,60,Severe lacerations to left hand & wrist,-
71,22-Oct-2017,2017.0,Unprovoked,AUSTRALIA,South Australia,Normanville,Kayaking / Fishing,F,15,Minor injuries,"White shark, 4.5 m"
72,21-Oct-2017,2017.0,Unprovoked,NEW ZEALAND,North Island,"Off Tapuna Beach, Auckand",Kayaking,M,-,"No injury, shark shook kayak x3 ",2 m shark
73,18-Oct-2017,2017.0,Unprovoked,USA,Florida,"Lantana Beach, Palm Beach County",Swimming,M,-,Puncture wounds & lacerations to foot,"Spinner shark, 4 to 5 feet"
74,09-Oct-2017,2017.0,Unprovoked,USA,Hawaii,"Davidsons Beach, Kekaha, Kauai",Surfing,M,54,Lacerations to left hand,"Tiger shark, 8 to 10 feet"
75,05-Oct-2017,2017.0,Unprovoked,USA,Hawaii,"Kama‘ole Beach Park, Maui ",Snorkeling,F,40,Abrasions,8' shark
76,01-Oct-2017,2017.0,Invalid,SOUTH AFRICA,Western Cape Province,Dyer Island,Scuba Diving,M,31,FATAL,Death may have been due to drowning
77,25-Sep-2017,2017.0,Unprovoked,USA,Florida,"Hanna Park, Jacksonville, Duval County",Surfing,M,-,Lacerations to lower left leg and foot,5' shark
78,25-Sep-2017,2017.0,Unprovoked,AUSTRALIA,Western Australia,Gracetown,Surfing,M,-,"No injury, board damaged by shark","White shark, 3.5 m"
79,24-Sep-2017,2017.0,Invalid,USA,New York,Rockaway,Surfing,M,33,"Lacerations to right ankle, foot & toe",Questionable
80,24-Sep-2017,2017.0,Unprovoked,USA,Florida,Fort Worth,Surfing,M,-,Laceration to upper arm,4' to 5' shark
81,20-Sep-2017,2017.0,Unprovoked,USA,Florida,Palm Beach County,Surfing,M,-,Minor lacerations to sole of left foot,-
82,16-Sep-2017,2017.0,Unprovoked,SPAIN,Canary Islands,Gran Canaria ,Body surfing,M,13,Lacerations to right foot,"Porbeagle, 1.5 m"
83,16-Sep-2017,2017.0,Unprovoked,USA,Florida,"Ponce Inlet, Volusia County",Surfing,M,28,Lacerations to left foot,-
84,15-Sep-2017,2017.0,Invalid,SOUTH AFRICA,Western Cape Province,Hawston,Scuba Diving,M,25,"FATAL, but death was probably due to drowning",-
85,15-Sep-2017,2017.0,-,SAMOA, Upolu Island,Nofoali’i,Fishing,M,-,Injuries to hands and legs,-
86,Sep-2017,2017.0,Boating,AUSTRALIA,Westerm Australia,Esperance,Fishing,-,-,"sharks rammed boats, no injury to occupants","White shark, 3.5m"
87,13-Sep-2017,2017.0,Unprovoked,USA,Florida,"Ponce Inlet, Volusia County",Surfing,M,18,Lacerations to left foot,5' to 6' shark
88,10-Sep-2017,2017.0,Unprovoked,AUSTRALIA,Westerm Australia,Sam's Creek area,Swimming,M,-,Minor injuries,-
89,10-Sep-2017,2017.0,Unprovoked,AUSTRALIA,New South Wales,Iluka Beach,Surfing,M,35,Minor lacerations to right hip,"White shark, 3 to 3.5m "
90,Reported 06-Sep-2017,2017.0,Unprovoked,SOLOMON ISLANDS,-,Owarigi Island,Spearfishing,M,-,Foot bitten,-
91,03-Sep-2017,2017.0,Unprovoked,SOUTH AFRICA,Western Cape Province,Dyer Island,"Swimming, poaching abalone",M,-,FATAL,-
92,03-Sep-2017,2017.0,Unprovoked,JAPAN,Shizuoka Prefecture,Iwata City,Surfing,M,42,Injury to ankle & feet,-
93,02-Sep-2017,2017.0,Unprovoked,USA,Florida,"Marathon, Monroe County",Swimming,M,-,Lacerations to abdomen,Nurse shark
94,02-Sep-2017,2017.0,Unprovoked,USA,Texas,"South Padre Island, Cameron County",Swimming,F,-,Lacerations to foot,-
95,02-Sep-2017,2017.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,17,Minor injury to right hand,-
96,29-Aug-2017,2017.0,Unprovoked,AUSTRALIA,Victoria,Cathedral Rock,Surfing,M,37,"No injury, board bitten","White shark, 3 m"
97,27-Aug-2017,2017.0,Unprovoked,USA,Florida,Bathtub Beach ,Wading,F,3,Leg injured,-
98,26-Aug-2017,2017.0,Invalid,SPAIN,Castellón,Grao de Moncofa,Swimming,F,11,Lacerations to left foot,Shark involvement questionable
99,26-Aug-2017,2017.0,Unprovoked,NEW ZEALAND,North Island,Off Tutukaka,Canoeing,M,-,"No injury, shark bit canoe",-
100,23-Aug-2017,2017.0,Unprovoked,USA,Massachusetts,"Marconi Beach, Wellfleet, Barnstable County",SUP,M,69,Not injured by shark but board bitten,"White shark, 5' to 7'"
101,18-Aug-2017,2017.0,Unprovoked,BAHAMAS,-,-,Spearfishing,M,-,Hand injured,5' shark
102,10-Aug-2017,2017.0,Unprovoked,USA,South Carolina,"Sea Pines Resort, Hilton Head Island, Beaufort County",Swimming,M,13,Minor cuts to sole & toes of left foot,Possibly a juvenile blacktip shark
103,05-Aug-2017,2017.0,Unprovoked,EGYPT,Red Sea Protectorate,Marsa Ghalib,Snorkeling,F,20,Bite to right leg/hip,"Oceanic whitetip shark, 1.8 to 2 m"
104,03-Aug-2017,2017.0,Provoked,USA,Massachusetts,"Menauhant Beach, Falmouth,
Barnstable County",Fishing,M,34,Foot bitten by landed shark PROVOKED INCIDENT,4' shark
105,01-Aug-2017,2017.0,Boating,USA,California,"Between Pescadero Point & Bean Hollow Beach, San Mateo County",Kayaking / Fishing,M,-,"No injury, bow of kayak bitten","White shark, 10'"
106,31-Jul-2017,2017.0,Unprovoked,USA,Florida,"Jacksonvlle, Duval County",Skimboarding,M,15,Lacerations to lower leg,-
107,29-Jul-2017,2017.0,Invalid,USA,South Carolina,"Hilton Head Island, Beaufort County",Swimming,M,10,Abrasions and cuts to sole of foot,A small shark
108,29-Jul-2017,2017.0,Unprovoked,USA,South Carolina,"DeBordieu Colony, Georgetown County",-,F,12,Bite to left thigh / minor injury,-
109,27-Jul-2017,2017.0,Unprovoked,BAHAMAS,New Providence District,Rose Island,Snorkeling,F,-,Foot & ankle injured,-
110,Reported 26-Jul-2017,2017.0,Unprovoked,BAHAMAS,40 miles off Grand Bahama Island,-,Spearfishing,M,-,Severe lacerations to left hand,-
111,24-Jul-2017,2017.0,Unprovoked,"ST HELENA, British overseas territory",Ascension Island,English Bay,Surfing,M,37,Torso bitten,-
112,23-Jul-2017,2017.0,Unprovoked,USA,New Jersey,Ventnor,-,F,-,Minor injury to hand,Sandtiger shark  2'
113,23-Jul-2017,2017.0,Unprovoked,SPAIN,Majorca,"Estanys Beach, Colonia de Sant",Swimming,F,-,Abrasion to arm from shark's rough skin,Blue shark 6'
114,22-Jul-2017,2017.0,Unprovoked,USA,Florida,"Snipes Point, Monroe County",-,F,40,Foot bitten,"""A small shark"""
115,20-Jul-2017,2017.0,Invalid,USA,South Carolina,"Hilton Head Island, Beaufort County",Swimming,F,8,Foot injured,Shark involvement not confirmed
116,20-Jul-2017,2017.0,Boating,USA,California,"Stearns Wharf, Santa Barbara",Kayaking,M,40,"No injury, kayak bitten","White shark, 11' to 13'"
117,20-Jul-2017,2017.0,Unprovoked,USA,California,"Seal Rock, Goleta Beach, Santa Barbara",SUP,M,50,"No injury, shark bit paddleboard","White shark, 8' to 10'"
118,14-Jul-2017,2017.0,Unprovoked,USA,Washington,"South Beach, Westport, Grays Harbor County",Surfing,M,-,Pulled off board by shark but no injury,"White shark, 9'"
119,14-Jul-2017,2017.0,Unprovoked,AUSTRALIA,Western Australia,Floreat Beach,Surfing,M,-,"Minor injury, grazed by shark",-
120,11-Jul-2017,2017.0,Boating,USA,California,"Santa Cruz, Santa Cruz County",Kayaking,M,-,"No injury, kayak bitten",White shark
121,09-Jul-2017,2017.0,Unprovoked,USA,Florida,"Haulover Beach, Miami-Dade County",Swimming,M,46,Lower legs bitten,"Bull shark, 4' to 5'"
122,Reported 07-Jul-2017,2017.0,Provoked,MEXICO,Tabasco,"Sánchez Magallanes, Cárdenas",Fishing,M,32,Hand bitten by hooked shark PROVOKED INCIDENT,"Tiger shark, 100 kg"
123,07-Jul-2017,2017.0,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"Nahoon Reef, East London",Surfing,F,13,"No injury, shark bit surfboard","White shark, 2.5 m"
124,02-Jul-2017,2017.0,Invalid,COMOROS,Anjouan,Moya,Fishing,-,-,"Skull found in shark, a probable drowning & scavenging",Shark involvement prior to death not confirmed
125,29-Jun-2017,2017.0,Invalid,USA,South Carolina,Wrightsville Beach,Fishing,M,-,"Arm injured by hook, not by a shark",No shark invovlement 
126,21-Jun-2017,2017.0,Unprovoked,USA,South Carolina,"South Forest Beach, Hilton Head Island, Beaufort County",Swimming,F,16,Left foot bitten,-
127,19-Jun-2017,2017.0,Unprovoked,USA,Florida,"Singer Island, Palm Beach County",Surfing,M,-,1 to 2-inch laceration behind knee,-
128,18-Jun-2017,2017.0,Unprovoked,USA,South Carolina,"Burkes Beach, Hilton Head, Beaufort County",Swimming,F,14,Leg bitten,"Bull shark, 4' to 5'"
129,18-Jun-2017,2017.0,Unprovoked,REUNION,-,Roches Noire,Body boarding,M,34,"No injury, shark bit surfboard ","Bull shark, 2m"
130,17-Jun-2017,2017.0,Unprovoked,SPAIN,Ibiza Island,Playa d’en Bossa,Swimming,M,82,2-inch laceration to hand,-
131,2017.06.05,2017.0,Unprovoked,FRENCH POLYNESIA,Marquesas,"Atuona Bay, Hiva Oa Island",Surfing,M,-,Injuries to hand and wrist,-
132,Reported 14-Jun-2017,2017.0,Unprovoked,BAHAMAS,-,-,Feeding sharks,F,-,Fingernail pulled off ,-
133,11-Jun-2017,2017.0,Unprovoked,AUSTRALIA,Western Australia,"Point Casuarina, Bunbury",Body boarding,M,48,"No injury, board bitten","White shark, 4 m"
134,10-Jun-2017,2017.0,Unprovoked,AUSTRALIA,Victoria,"Flinders, Mornington Penisula",Surfing,F,-,"No injury, knocked off board",Seven-gill shark
135,10-Jun-2017,2017.0,Unprovoked,USA,Florida,"Ponce Inlet, Volusia County",Surfing,M,19,Laceration to left foot,-
136,Reported 07-Jun-2017,2017.0,Unprovoked,UNITED KINGDOM,South Devon,Bantham Beach,Surfing ,M,30,"Bruise to leg, cuts to hand sustained when he hit the shark","3m shark, probably a smooth hound"
137,04-Jun-2017,2017.0,Unprovoked,USA,Florida,"Middle Sambo Reef off Boca Chica, Monroe County",Spearfishing,M,-,Laceration to shin,8' shark
138,02-Jun-2017,2017.0,Unprovoked,BAHAMAS,New Providence ,Athol Island,Snorkeling,F,32,Right forearm severed ,Tiger shark
139,30-May-2017,2017.0,Provoked,USA,South Carolina,"Awendaw, Charleston County",Touching a shark,F,20,Right hand bitten by hooked shark PROVOKED INCIDENT,3' shark
140,28-May-2017,2017.0,Unprovoked,USA,Florida,Off Jupiter,Feeding sharks,M,-,Lacerations to right arm,Tiger shark
141,27-May-2017,2017.0,Invalid,AUSTRALIA,New South Wales,Evans Head,Fishing ,M,73,Abrasion to right forearm from pectoral fin of a shark that leapt into his boat,-
142,12-May-2017,2017.0,Unprovoked,UNITED ARAB EMIRATES,"Sharjah, ",Khor Fakkan,Spearfishing,M,41,Right leg severely bitten,-
143,Reported 06-May-2017,2017.0,Provoked,AUSTRALIA,Queensland,Weipa,Attempting to lasso a shark,M,29,Thigh nipped PROVOKED INCIDENT,9' shark
144,05-May-2017,2017.0,Unprovoked,MEXICO,Baja California Sur,"Los Arbolitos, Cabo Pulmo",Snorkeling,M,33,FATAL,-
145,03-May-2017,2017.0,Invalid,USA,California,"Sunset Beach, Orange County",Surfing,F,18,"Laceration to thigh, likely caused by surfboard fin",Shark involvement highly doubtful
146,29-Apr-2017,2017.0,Unprovoked,USA,California,"San Onofre, San Diego County ",Swimming,F,-,Major injury to posterior thigh,-
147,29-Apr-2017,2017.0,Unprovoked,SOUTH AFRICA,Western Cape Province,"Keurbooms, Plettenberg Bay",Surfing,M,14,Minor injury to right calf,-
148,29-Apr-2017,2017.0,Unprovoked,USA,South Carolina,"Folly Beach, Charleston County",Surfing,F,33,Left foot bitten,-
149,29-Apr-2017,2017.0,Unprovoked,REUNION,Saint-Leu,Pointe au Sal,Body boarding,M,28,FATAL,-
150,27-Apr-2017,2017.0,Unprovoked,NEW ZEALAND,South Island,"Porpoise Bay, Catlins",Body boarding,F,20s,Puncture wounds & laceration above knee,-
151,26-Apr-2017,2017.0,Invalid,USA,Florida,-,Photo shoot,F,-,Alleged laceration to left ankle,No shark invovlement - it ws a publicity stunt
152,22-Apr-2017,2017.0,Unprovoked,"ST HELENA, British overseas territory",Ascension Island,English Bay,Snorkeling,F,40,Calf & foot bitten,-
153,20-Apr-2017,2017.0,Invalid,USA,South Carolina,Georgetown County,Swimming,M,-,Laceration & puncture wounds to left foot,Shark involvement not confirmed
154,17-Apr-2017,2017.0,Unprovoked,USA,Florida,"Daytona Beach, Volusia County",-,-,-,Minor bite to the foot,-
155,17-Apr-2017,2017.0,Unprovoked,AUSTRALIA,Western Australia,Kelpies near Wylie Bay,Surfing,F,17,FATAL,White shark
156,14-Apr-2017,2017.0,Unprovoked,USA,Hawaii,"Kekaha Beach, Kauai",Surfing,M,28,Lower right leg severely injured,"Tiger shark, 12'"
157,13-Apr-2017,2017.0,Unprovoked,USA,Florida,"Hanna Park, Jacksonville, Duval County",Surfing,M,17,Lacerations to right foot,-
158,12-Apr-2017,2017.0,Unprovoked,USA,Florida,St. Augustine,Surfing,F,-,Lacerations to right foot,-
159,12-Apr-2017,2017.0,Invalid,SOUTH AFRICA,KwaZulu-Natal,Protea Banks,Scuba Diving,M,68,"Fatal, coroner unable to determine if the diver was alive or had drowned when incident took place.",Shark involvement prior to death not confirmed
160,11-Apr-2017,2017.0,Unprovoked,USA,Florida,"Ormond Beach, Volusia County",Surfing,F,35,Calf bitten,-
161,10-Apr-2017,2017.0,Unprovoked,USA,Florida,"Melbourne Beach, Brevard County",Paddle boarding,F,10,Laceration to calf,-
162,10-Apr-2017,2017.0,Unprovoked,USA,Florida,"Melbourne Beach, Brevard County",Swimming,F,21,Minor injury to left hand,-
163,06-Apr-2017,2017.0,Unprovoked,USA,Florida,"Daytona, Volusia County",Swimming,M,16,Foot injured,-
164,05-Apr-2017,2017.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Swimming,F,51,"Thigh nipped, minor injury",-
165,02-Apr-2017,2017.0,Unprovoked,AUSTRALIA,Queensland,Moreton Bay,Kakaying,M,39,"No injury, shark bit off stern of kayak",-
166,02-Apr-2017,2017.0,Unprovoked,USA,Florida,"Destin, Okaloosa County",Swimming,F,17,Lacerations to thighs,"Bull shark, 5' to 7'"
167,27-Mar-2017,2017.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,58,Minor injury to left foot,-
168,19-Mar-2017,2017.0,Unprovoked,AUSTRALIA,New South Wales,The Farm,Body boarding,M,30,Minor,-
169,18-Mar-2017,2017.0,Boating,USA,California,Monterey Bay,Kayaking,M,-,"No injury, kayak bitten",White shark
170,11-Mar-2017,2017.0,Unprovoked,PHILIPPINES,Luzon Island,"Villamar, Caoayan",Spearfishing,M,25,Right thigh injured ,10' shark
171,Reported 09-Mar-2017,2017.0,Unprovoked,BAHAMAS,Great Exuma,-,Washing hands,M,58,Abrasions & lacerations to left leg and hand,Lemon shark
172,25-Feb-2017,2017.0,Unprovoked,AUSTRALIA,Western Australia,Mauds Point,Snorkeling,F,-,Hand bitten,"Bull shark, 1.5"
173,24-Feb-2017,2017.0,Unprovoked,AUSTRALIA,Western Australia,"Falcon Bay Beach, Mandurah",Surfing,M,-,"No injury, shark struck board",-
174,21-Feb-2017,2017.0,Unprovoked,REUNION,Saint-Andre,-,Body boarding,M,26,Fatal,-
175,17-Feb-2017,2017.0,Unprovoked,AUSTRALIA,Queensland,Eva Rock,Spearfishing,M,26,Left leg severely bitten,-
176,11-Feb-2017,2017.0,Unprovoked,USA,Florida,"Melbourne Beach, Brevard County",Swimming,M,22,Injury to hand,-
177,06-Feb-2017,2017.0,Provoked,BRAZIL,Pernambuco,Fernando de Noronha Marine Park,Grabbing shark for a selfie,F,-,"Minor injury to finger, PROVOKED INCIDENT",Lemon shark pup
178,06-Feb-2017,2017.0,Boating,SOUTH AFRICA,KwaZulu-Natal,Eastmoor Crescent Beach,Kayak fishing,M,-,"Shark damaged kayak, no injury to occupant",Tiger shark
179,01-Feb-2017,2017.0,Boating,USA,South Carolina,16 miles off Hilton Head,Tagging sharks,-,-,"Shark bit boat, no injury to occupants","White shark, female, 14'"
180,01-Feb-2017,2017.0,Unprovoked,BAHAMAS,Bimini,-,Scuba Diving,M,37,Lacerations to upper right arm,Caribbean reef shark
181,24-Jan-2017,2017.0,Unprovoked,BRAZIL,Pernambuco,"Boa Viagem, Recife",Swimming,M,21,Minor laceration to ring finger,-
